id,nombre,latitud,longitud,prioridad,ventana_inicio,ventana_fin,pedido,distrito
149,Plaza de la Bandera Premium,-12.0872,-77.0637,3,10:00,18:00,277.52,Magdalena
150,Mercado de Barranco Norte,-12.0873,-77.003,5,19:00,23:00,112.71,San Borja
151,Parque de la Media Luna Express,-12.0579,-76.9548,2,08:00,10:00,257.79,Ate
152,Parque de las Leyendas Principal,-12.0884,-77.0015,2,17:00,23:00,270.06,San Borja
153,Supermercado Peruanito 3,-12.1491,-77.0145,3,09:00,11:00,233.39,Barranco
154,Farmacia El Súper Premium,-12.08,-77.0513,1,12:00,18:00,460.01,Lince
155,Mercado de Miraflores Oeste,-12.0439,-77.045,2,17:00,23:00,385.06,Breña
156,Restaurante Amaz 3,-12.0111,-76.8835,2,12:00,15:00,370.59,Santiago de Surco
157,Santa Isabel - Chorrillos,-12.106,-77.0496,2,20:00,23:00,265.86,San Isidro
158,Plaza San Martín Express,-12.0499,-77.0141,4,11:00,15:00,125.23,El Agustino
159,Mercado de Chorrillos 4,-12.0217,-77.0283,4,08:00,10:00,111.07,Rímac
160,Supermercado El Ahorro Sur,-11.9446,-77.0475,1,07:00,10:00,211.36,Comas
161,Hotel Wyndham - Los Olivos,-11.9942,-77.0215,3,10:00,12:00,112.55,Independencia
162,Centro Comercial Mall Aventura 5,-12.0445,-76.8802,1,17:00,21:00,356.94,Chaclacayo
163,Restaurante Rafael Norte,-11.9979,-77.0266,5,09:00,12:00,67.69,Independencia
164,Plaza de la Democracia Premium,-12.4497,-77.0982,2,15:00,19:00,168.57,Chaclacayo
165,Universidad ESAN - Santa Rosa,-12.3208,-76.8848,4,19:00,23:00,125.8,Lurigancho
166,Centro Financiero 3,-12.0592,-77.0852,2,06:00,09:00,336.42,San Miguel
167,Restaurante El Mercado Plus,-12.0621,-77.1348,3,13:00,15:00,272.22,Bellavista
168,Plaza Vea Express,-12.0565,-77.0481,1,06:00,08:00,316.05,Jesús María
169,Mercado de Magdalena Norte,-12.0768,-77.0342,2,20:00,23:00,292.42,La Victoria
170,Parque de la Familia Plus,-12.056,-77.142,2,16:00,23:00,155.05,Callao
171,Centro Comercial Mall Aventura Express,-12.0556,-77.0426,1,11:00,15:00,338.14,Breña
172,Universidad San Martín 1,-11.892,-77.2008,1,11:00,13:00,423.91,Ventanilla
173,Restaurante Rafael Plus,-12.0729,-77.1927,2,18:00,23:00,353.23,Chorrillos
174,Mercado de Magdalena Express,-11.9562,-77.0475,2,07:00,09:00,167.99,Comas
175,Restaurante La Mar Premium,-12.0686,-77.0802,2,14:00,22:00,363.72,San Miguel
176,Parque de la Media Luna - Chorrillos,-12.0399,-77.0293,3,17:00,20:00,211.76,Rímac
177,Hotel JW Marriott Premium,-12.1626,-77.0084,2,10:00,13:00,385.31,Surco
178,Centro Comercial Plaza Bellavista Sur,-12.4527,-77.143,3,15:00,18:00,242.9,Chorrillos
179,Plaza Dos de Mayo Este,-12.0792,-77.0213,4,19:00,23:00,68.55,La Victoria
180,Clínica Anglo Americana Terciario,-11.8542,-77.1091,2,17:00,19:00,393.86,Puente Piedra
181,Farmacia El Súper - Magdalena,-12.1671,-76.9963,1,19:00,23:00,338.86,Surco
182,Plaza San Martín - Puente Piedra,-12.0243,-77.0203,1,14:00,23:00,459.4,Rímac
183,Hospital María Auxiliadora Plus,-12.3289,-76.8951,1,07:00,09:00,381.74,Villa María del Triunfo
184,Centro Comercial Larcomar Oeste,-11.9922,-77.0224,2,08:00,14:00,378.35,Independencia
185,Universidad Católica Secundario,-12.0557,-77.0424,1,13:00,15:00,281.6,Breña
186,Parque de las Leyendas - Breña,-12.293,-76.9237,2,13:00,23:00,201.66,Santa Rosa
187,Parque de la Exposición 1,-12.3134,-76.8709,3,10:00,13:00,145.93,Santa Rosa
188,Clínica Delgado Este,-12.0269,-76.8957,5,20:00,23:00,72.02,Villa El Salvador
189,Mercado de Magdalena 3,-11.9906,-77.0233,1,10:00,16:00,492.63,Pachacámac
190,Restaurante La Picantería Plus,-11.8541,-77.0912,3,13:00,23:00,228.52,Puente Piedra
191,Hotel Radisson Secundario,-12.3076,-76.9793,2,15:00,19:00,251.24,Lurigancho
192,Plaza San Martín Plus,-12.0778,-77.1641,3,11:00,14:00,131.15,La Punta
193,Parque de las Leyendas - Carabayllo,-12.152,-77.1844,2,12:00,23:00,387.62,Mi Perú
194,Universidad de Lima Oeste,-11.8518,-77.1817,3,10:00,18:00,160.8,Lurigancho
195,Hotel Belmond Express,-12.0671,-77.0464,3,13:00,23:00,226.65,Jesús María
196,Restaurante Rafael Premium,-12.0537,-77.0512,3,15:00,21:00,267.05,Jesús María
197,Universidad San Martín 5,-12.0599,-77.0236,1,17:00,19:00,268.63,El Agustino
198,Universidad ESAN Premium,-12.0906,-77.0388,1,17:00,19:00,313.05,San Isidro
199,Vivanda - Breña,-12.0856,-76.9935,1,10:00,14:00,393.04,San Borja
200,Universidad Científica del Sur Premium,-11.9936,-77.0343,1,10:00,14:00,259.26,Independencia
201,Restaurante El Rincón del Ceviche - Miraflores,-12.332,-76.9182,3,08:00,14:00,207.91,Villa El Salvador
202,Hotel Country Club Premium,-12.0781,-77.0677,3,18:00,22:00,149.07,Pueblo Libre
203,Centro Comercial Plaza San Miguel Plus,-12.211,-76.9909,3,19:00,23:00,113.22,Santa Rosa
204,Parque de la Exposición - Carabayllo,-12.0785,-77.0572,4,16:00,18:00,160.28,Lince
205,Centro Comercial Larcomar - Ate,-12.0612,-77.1259,2,16:00,19:00,225.19,Bellavista
206,Farmacia InkaFarma Secundario,-12.1393,-76.9066,2,06:00,12:00,184.19,Mi Perú
207,Parque de la Exposición Premium,-12.0727,-77.0305,4,18:00,23:00,195.01,La Victoria
208,Plaza de Acho 4,-12.0717,-77.0627,1,18:00,22:00,399.0,Magdalena
209,Centro Comercial Plaza Lima Sur Premium,-12.1011,-77.0305,4,20:00,23:00,158.94,San Isidro
210,Restaurante Osaka Sur,-12.079,-77.0793,2,18:00,23:00,177.45,Magdalena
211,Parque Reducto - La Punta,-12.3843,-77.0742,5,11:00,15:00,105.66,Santiago de Surco
212,Parque Kennedy Express,-12.0661,-77.055,1,20:00,23:00,402.62,Pueblo Libre
213,Mercado de Barranco Express,-11.7513,-77.1567,2,08:00,16:00,397.39,Ancón
214,Estadio Nacional Plus,-12.1586,-77.1564,3,09:00,12:00,219.65,Chaclacayo
215,Centro Comercial Plaza Norte Terciario,-12.046,-76.9597,2,17:00,23:00,359.87,Ate
216,Hotel Radisson Secundario,-12.1692,-77.1598,5,09:00,13:00,121.68,Santa Rosa
217,Centro Comercial MegaPlaza 2,-12.0574,-77.0403,4,09:00,21:00,161.46,Jesús María
218,Clínica Ricardo Palma - San Isidro,-12.2725,-77.1862,2,06:00,12:00,356.25,Chorrillos
219,Parque de la Pera Premium,-11.9063,-77.2038,2,15:00,23:00,167.43,Ventanilla
220,Parque de la Familia Norte,-12.4085,-77.1613,1,12:00,23:00,316.46,Lurín
221,Clínica San Felipe Terciario,-12.0794,-76.9955,2,19:00,21:00,395.94,San Borja
222,Hospital María Auxiliadora Terciario,-11.9988,-77.0276,3,17:00,21:00,180.42,Independencia
223,Farmacia El Súper Norte,-12.0928,-77.0426,1,12:00,18:00,450.43,San Isidro
224,Universidad de Lima 2,-12.2919,-76.8472,1,09:00,21:00,381.51,Santiago de Surco
225,Parque Reducto - Barranco,-12.0617,-77.1759,5,17:00,19:00,95.37,La Punta
226,Supermercado El Súper Express,-12.0731,-77.0498,2,07:00,19:00,367.09,Lince
227,Hospital María Auxiliadora Plus,-12.0513,-77.1399,5,12:00,15:00,29.11,Bellavista
228,Universidad ESAN 3,-12.1185,-77.0228,2,18:00,23:00,215.26,Miraflores
229,Farmacia Mifarma Norte,-11.8466,-77.0988,4,18:00,23:00,72.94,Puente Piedra
230,Restaurante La Mar Express,-12.0531,-77.0771,4,10:00,12:00,55.11,San Miguel
231,Farmacia Boticas Premium,-11.808,-76.9679,3,13:00,19:00,152.32,Mi Perú
232,Hotel Sheraton - Chaclacayo,-12.0892,-76.9438,2,20:00,22:00,389.79,La Molina
233,Mercado de Chorrillos Plus,-12.0586,-77.0529,3,06:00,10:00,202.08,Jesús María
234,Supermercado El Ahorro 4,-12.0386,-77.0261,3,12:00,23:00,138.89,Rímac
235,Restaurante Amaz Express,-11.8243,-76.959,2,16:00,22:00,276.58,Chosica
236,Plaza San Martín Express,-12.0233,-77.0207,1,09:00,12:00,322.69,Rímac
237,Restaurante El Chinito - Ate,-12.0861,-77.0514,3,13:00,19:00,209.32,Lince
238,Hotel Country Club - San Miguel,-12.0859,-77.0769,2,06:00,14:00,279.0,Magdalena
239,Clínica San Felipe Plus,-12.4199,-76.9643,2,12:00,16:00,189.72,Villa El Salvador
240,Centro Comercial Plaza Central Oeste,-12.044,-77.0591,5,19:00,21:00,88.46,Villa María del Triunfo
241,Farmacia San Pablo Premium,-12.0897,-76.9917,4,10:00,22:00,179.8,San Borja
242,Farmacia Cruz Verde Premium,-12.0772,-77.0703,3,10:00,18:00,197.46,Magdalena
243,Hospital María Auxiliadora Plus,-11.9818,-77.066,2,09:00,11:00,249.5,Los Olivos
244,Parque de la Exposición - Miraflores,-11.9818,-76.8544,1,12:00,20:00,281.43,Pachacámac
245,Parque de la Amistad 1,-12.2793,-76.868,3,12:00,20:00,294.34,San Juan de Miraflores
246,Supermercado El Triunfo Plus,-11.9843,-77.0319,3,11:00,23:00,126.82,Independencia
247,Universidad San Marcos 3,-12.0632,-77.0564,4,13:00,23:00,141.11,Pueblo Libre
248,Hotel Westin - Santa Rosa,-12.0713,-77.1759,1,15:00,18:00,408.08,La Punta
249,Clínica San Felipe Plus,-12.485,-76.8016,4,15:00,21:00,185.86,Lurín
250,Mercado de Barranco Express,-12.0582,-77.0842,2,18:00,23:00,230.48,San Miguel
251,Centro Comercial Larcomar Express,-12.0331,-77.0001,5,09:00,13:00,59.63,Pachacámac
252,Plaza de Acho Express,-11.8564,-77.1065,2,16:00,22:00,155.69,Puente Piedra
253,Centro Comercial Plaza San Miguel Secundario,-12.3057,-77.0623,3,07:00,13:00,185.75,Lurín
254,Hotel Westin Terciario,-11.9737,-77.0615,3,09:00,11:00,193.88,Los Olivos
255,Estadio Nacional 2,-12.4647,-76.9505,2,10:00,16:00,319.0,Chaclacayo
256,Farmacia El Ahorro - Magdalena,-12.0596,-77.1484,5,09:00,15:00,149.48,Callao
257,Centro Comercial Plaza Lima Sur - Pachacámac,-12.056,-77.1544,4,11:00,23:00,193.5,Callao
258,Hotel Radisson - La Molina,-12.0732,-77.1391,3,07:00,19:00,218.86,Chosica
259,Plaza de la Revolución Express,-12.1119,-77.0237,3,17:00,19:00,115.28,Miraflores
260,Clínica Internacional - Los Olivos,-12.2598,-77.0259,3,12:00,18:00,132.91,Villa El Salvador
261,Restaurante Maido Plus,-12.0089,-77.059,3,07:00,13:00,123.42,San Martín de Porres
262,Parque El Olivar 2,-12.0911,-77.0422,2,19:00,23:00,361.39,San Isidro
263,Universidad Privada del Norte - Villa El Salvador,-12.1504,-76.9927,1,13:00,19:00,410.47,Surco
264,Centro Comercial Plaza San Miguel Sur,-12.0513,-76.9528,3,16:00,22:00,166.66,Ate
265,Hotel Country Club - San Isidro,-12.2653,-77.1596,2,11:00,15:00,294.89,Chorrillos
266,Farmacia El Súper Norte,-12.0909,-77.0195,4,09:00,15:00,174.07,San Luis
267,Hotel Sheraton Express,-12.0524,-77.0599,1,17:00,20:00,273.07,Breña
268,Clínica Anglo Americana - La Molina,-11.9824,-77.0652,3,20:00,23:00,122.17,Los Olivos
269,Centro Comercial Plaza Lima Sur Oeste,-11.8559,-77.0441,5,12:00,14:00,43.99,Lurín
270,Hotel Country Club - Ventanilla,-12.408,-76.857,3,16:00,18:00,142.58,Chaclacayo
271,Hotel Country Club Express,-12.4408,-77.1052,5,13:00,19:00,109.27,Lurín
272,Parque de las Leyendas 2,-12.0568,-77.0583,2,17:00,21:00,365.54,Breña
273,Supermercado El Rey - Carabayllo,-12.044,-77.0515,5,20:00,23:00,105.73,Breña
274,Farmacia InkaFarma Premium,-12.0426,-76.9484,1,15:00,23:00,258.8,Ate
275,Mercado de Miraflores Este,-12.2109,-76.8936,5,20:00,22:00,65.07,Mi Perú
276,Hotel Radisson 4,-11.9922,-77.0542,1,19:00,23:00,271.69,San Martín de Porres
277,Plaza de la Revolución 5,-12.0525,-76.934,2,14:00,16:00,273.49,San Juan de Lurigancho
278,Parque Kennedy Norte,-12.0797,-77.0783,2,19:00,23:00,374.71,Magdalena
279,Mercado Central Plus,-11.995,-77.0306,1,13:00,23:00,206.12,Independencia
280,Restaurante La Mar - Miraflores,-12.0876,-77.059,4,07:00,15:00,61.75,Lince
281,Restaurante Central Express,-12.0563,-77.0442,2,20:00,22:00,209.99,Jesús María
282,Clínica Ricardo Palma 5,-12.0512,-77.0211,3,19:00,21:00,290.33,El Agustino
283,Centro Comercial Plaza Lima Sur Plus,-12.067,-77.1386,1,13:00,17:00,459.78,Bellavista
284,Hospital Edgardo Rebagliati Premium,-12.0849,-76.9509,1,10:00,18:00,214.58,La Molina
285,Hotel JW Marriott - La Victoria,-12.4895,-77.1686,3,15:00,18:00,120.21,Santa Rosa
286,Universidad San Marcos - Miraflores,-11.907,-76.9674,1,06:00,10:00,308.87,Chorrillos
